Step,Reward1,Reward2
0,0.9603599,1
1,0.5075835,1
2,0,0
3,0.7955572,1
4,0,0
5,1.245493,1
6,0.2005604,1
7,0,0
8,0,0
9,0,0
10,1.050978,1
11,1.29444,1
12,0.2585656,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,1.037671,1
20,0,0
21,0.4144064,1
22,1.353706,1
23,0,0
24,0,0
25,0.2606614,1
26,0,0
27,0,0
28,0,0
29,0.03441599,1
30,0.8927026,1
31,0.9942451,1
32,0.1330968,1
33,0.9093076,1
34,0.9153983,1
35,0.7506776,1
36,0.2229372,1
37,0.7817029,1
38,0.8442806,1
39,0.4572269,1
40,0,0
41,0.193069,1
42,0,0
43,0.001861723,1
44,0.547467,1
45,0.9542215,1
46,0.5296381,1
47,0,0
48,0.9149987,1
49,0,0
50,1.157946,1
51,0.9420992,1
52,0,0
53,0.9439819,1
54,0.2733558,1
55,0.6937986,1
56,1.104028,1
57,0.9527737,1
58,0.153607,1
59,0.3467748,1
60,0,0
61,0.321646,1
62,0,0
63,0.0005193485,1
64,0,0
65,1.043702,1
66,1.080747,1
67,0,0
68,0.2795828,1
69,0,0
70,0.704986,1
71,1.101787,1
72,0.6132489,1
73,0.2780285,1
74,0.001387805,1
75,0.9339523,1
76,7.576677E-05,1
77,0.7731087,1
78,0,0
79,0.05777081,1
80,0.2544406,1
81,0.8678642,1
82,0.3558805,1
83,0.419777,1
84,0,0
85,0.9299558,1
86,0.2744025,1
87,0,0
88,0.5180122,1
89,0,0
90,0,0
91,1.070654,1
92,0.3270661,1
93,0.751667,1
94,0.9850161,1
95,1.155296,1
96,0,0
97,0,1
98,0,0
99,0.4263893,1
100,0.6332797,1
101,0,0
102,0,0
103,0.7116185,1
104,0,0
105,0.9580349,1
106,0.01481937,1
107,0.7454816,1
108,0,1
109,0.1450459,1
110,1.071111,1
111,0,0
112,0.0005141166,1
113,0.009371553,1
114,0.7607312,1
115,0,0
116,0.7831929,1
117,0.8303172,1
118,0.5081374,1
119,0.5407555,1
120,1.241801,1
121,1.157263,1
122,0,0
123,0.7150317,1
124,0.8326864,1
125,0,0
126,0,0
127,0,0
128,1.025539,1
129,0,0
130,0.4481928,1
131,0.9265527,1
132,1.064485,1
133,0.959645,1
134,0,0
135,0,0
136,0.3634432,1
137,0.9660741,1
138,0.4062469,1
139,1.166007,1
140,6.675803E-07,1
141,0,0
142,0.8078069,1
143,0.8141952,1
144,0.6847846,1
145,0,0
146,0.9577267,1
147,0.08437665,1
148,0,0
149,1.05187,1
150,1.216529,1
151,0,0
152,0.007186063,1
