Step,Reward1,Reward2
0,0,0
1,0.9452305,1
2,1.066957,1
3,0,0
4,0,0
5,0,0
6,0,0
7,0.9773178,1
8,0,0
9,0.1281454,1
10,0,0
11,0,0
12,0,0
13,0,0
14,0.2881812,1
15,0,0
16,0,0
17,0,0
18,0.001537476,1
19,0,0
20,0,0
21,0.2191868,1
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0.665541,1
28,0.9117509,1
29,1.098949,1
30,0.3414269,1
31,0,0
32,0.1864346,1
33,0,0
34,0.8773003,1
35,0.1814035,1
36,1.063312,1
37,0,0
38,0.6763008,1
39,0,0
40,0.9521476,1
41,0,0
42,0,0
43,0,0
44,0,0
45,0.6594909,1
46,1.26982,1
47,1.155869,1
48,0,0
49,0.9408755,1
50,1.146423,1
51,1.230938,1
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0.718025,1
58,0,0
59,0.2829646,1
60,1.069129,1
61,0.1010748,1
62,0,0
63,0.01256072,1
64,0,0
65,0,0
66,0.9339848,1
67,0.9302303,1
68,0,0
69,1.016775,1
70,1.095818,1
71,0,0
72,0.9024665,1
73,0.8244001,1
74,1.017401,1
75,0.5362763,1
76,0.0116373,1
77,1.299467,1
78,0.8525184,1
79,0,0
80,0.4996066,1
81,0.8834871,1
82,0.9871259,1
83,0.9942768,1
84,0.6772551,1
85,0.3867742,1
86,1.139535,1
87,0.4486649,1
88,1.061417,1
89,0,0
90,1.01793,1
91,0.964713,1
92,0.01453432,1
93,0,0
94,0.5587954,1
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0.008435556,1
103,0.5357747,1
104,0,0
105,0.003268809,1
106,0.9756423,1
107,0.8573633,1
108,0,0
109,0.8744017,1
110,0.9766637,1
111,0,0
112,0,0
113,0.2476906,1
114,0,0
115,0.4227519,1
116,0,0
117,1.016865,1
118,1.333479,1
119,0.1617858,1
120,0,0
121,0,0
122,0.3121121,1
123,1.231512,1
124,0,0
125,0.3953681,1
126,0.3275405,1
127,0.7765087,1
128,0.7443092,1
129,0,0
130,0.0188012,1
131,0,0
132,0.5870154,1
133,0.9629117,1
134,0.5730557,1
135,0,0
136,0,0
137,0,0
138,0.9860846,1
139,0,0
140,0,0
141,1.34366,1
142,0,0
143,0,0
144,0,0
145,0,0
146,1.2678,1
147,0,0
148,0,0
149,0.8309103,1
150,0,0
151,0.1944237,1
152,0.4815692,1
153,0,0
154,0,0
155,0,0
156,0.2184652,1
157,0.8049794,1
158,0.0697813,1
159,0,0
160,0,0
161,0.7044775,1
162,0,0
163,0.8949277,1
164,0,0
165,0.9091766,1
166,0.4819735,1
167,0,0
168,0.2604434,1
169,0,0
170,0.8283387,1
171,0.4404718,1
172,1.264919,1
173,0.9143207,1
174,1.347317,1
175,0.5079099,1
176,0,0
177,0,0
178,0,0
179,1.038569,1
180,0,0
181,0,0
182,0,0
183,0,0
184,1.066562,1
185,0.04209344,1
186,1.01013,1
187,0,0
188,0.819439,1
189,0,0
190,0.8105778,1
191,0.006484629,1
192,0,0
193,0.385564,1
194,0,0
