Wall time,Step,Value
1757657555.6309416,500,7.846741199493408
1757657638.0718834,1000,7.48226261138916
1757657721.3628464,1500,7.744490146636963
1757657807.8999286,2000,7.729223251342773
1757657896.3260906,2500,7.645421504974365
1757657986.0564787,3000,7.802154064178467
1757658072.4414773,3500,7.7384490966796875
1757658157.656983,4000,7.785579204559326
1757658248.420052,4500,8.058004379272461
1757658335.9723558,5000,7.680317401885986
1757658424.399584,5500,8.089184761047363
1757658513.7561836,6000,8.09476089477539
1757658605.8055632,6500,7.919060707092285
1757658697.4097624,7000,8.026983261108398
1757658789.634995,7500,8.103673934936523
1757658879.0418434,8000,7.98940372467041
1757658972.393227,8500,7.9539031982421875
1757659065.3439646,9000,8.198610305786133
1757659160.2123992,9500,8.118309020996094
1757659253.1833687,10000,8.242975234985352
1757659348.2200904,10500,8.263253211975098
1757659443.903324,11000,8.329543113708496
1757659537.8449826,11500,8.261942863464355
1757659633.3738198,12000,8.49186897277832
1757659729.1151268,12500,8.444982528686523
1757659826.4648094,13000,8.513132095336914
1757659923.7698884,13500,8.642045974731445
1757660020.5564277,14000,8.543644905090332
1757660118.1870613,14500,8.415867805480957
1757660213.0718553,15000,8.379993438720703
1757660308.0010521,15500,8.613346099853516
1757660405.3859417,16000,8.754541397094727
1757660502.3146367,16500,8.585111618041992
1757660596.904219,17000,8.416006088256836
1757660692.377559,17500,8.756010055541992
1757660788.3742568,18000,8.468159675598145
1757660883.828406,18500,8.48090934753418
1757660981.155057,19000,8.590214729309082
1757661078.1575916,19500,8.71364974975586
1757661174.3465128,20000,8.824542999267578
1757661268.9417207,20500,14.12134075164795
1757661361.694734,21000,17.004657745361328
1757661454.9667282,21500,17.124401092529297
1757661548.1049678,22000,17.39255714416504
1757661638.821796,22500,17.323312759399414
1757661730.7186873,23000,17.127613067626953
1757661825.6652198,23500,17.26287269592285
1757661917.4408953,24000,16.78912925720215
1757662009.221419,24500,17.5699405670166
1757662103.5115798,25000,17.35723114013672
1757662196.9183664,25500,17.18553352355957
1757662289.6909218,26000,17.28740692138672
1757662382.150035,26500,17.1009578704834
1757662480.5692773,27000,17.171669006347656
1757662572.2686846,27500,17.54446792602539
1757662664.4894433,28000,17.76841926574707
1757662758.5354636,28500,17.24620246887207
1757662853.8800356,29000,17.461416244506836
1757662944.309507,29500,17.411964416503906
1757663036.5488992,30000,17.538904190063477
1757663130.0085967,30500,17.418100357055664
1757663225.1156485,31000,17.564321517944336
1757663318.4471874,31500,17.338516235351562
1757663410.9030652,32000,17.89900779724121
1757663505.147922,32500,17.405858993530273
1757663600.5120697,33000,17.50358009338379
1757663694.3936038,33500,17.791948318481445
1757663790.0492947,34000,17.98148536682129
1757663886.0390308,34500,17.487802505493164
1757663980.510302,35000,17.429296493530273
1757664073.8540506,35500,17.506738662719727
1757664167.3689528,36000,17.82636260986328
1757664262.496299,36500,17.685911178588867
1757664355.9619582,37000,17.830928802490234
1757664451.0265698,37500,17.46788215637207
1757664545.29592,38000,17.664148330688477
1757664639.4710643,38500,17.532573699951172
1757664732.7168853,39000,17.477628707885742
1757664827.056252,39500,17.45705795288086
1757664921.8005857,40000,17.37273406982422
1757665012.2836144,40500,21.339710235595703
1757665102.2307425,41000,26.111377716064453
1757665195.0221193,41500,26.203994750976562
1757665287.2047124,42000,25.788330078125
1757665378.2709527,42500,25.78473663330078
1757665470.2073324,43000,25.744428634643555
1757665565.156051,43500,26.541988372802734
1757665657.9217632,44000,26.001985549926758
1757665751.1029747,44500,25.46686363220215
1757665842.7250447,45000,25.997722625732422
1757665937.0565956,45500,25.841108322143555
1757666029.6573253,46000,25.969738006591797
1757666123.1833675,46500,26.462120056152344
1757666214.901456,47000,26.334880828857422
1757666308.9810598,47500,25.8866024017334
1757666403.4005058,48000,26.408584594726562
1757666494.6989834,48500,25.636812210083008
1757666589.0012417,49000,26.001588821411133
1757666681.7835605,49500,25.832515716552734
1757666775.7284367,50000,26.212310791015625
1757666867.958751,50500,25.70677375793457
1757666957.833035,51000,25.87296485900879
1757667051.4457576,51500,25.92177391052246
1757667142.9062269,52000,27.344263076782227
1757667236.545142,52500,25.675399780273438
1757667329.5103517,53000,26.93571662902832
1757667422.0583212,53500,25.36014175415039
1757667515.5216622,54000,25.18684196472168
1757667609.0787501,54500,27.012609481811523
1757667703.8726768,55000,26.62346839904785
1757667799.114294,55500,25.988229751586914
1757667889.36691,56000,25.71562957763672
1757667980.9187527,56500,26.978330612182617
1757668072.937463,57000,25.73646354675293
1757668168.1578803,57500,25.730268478393555
1757668262.1888292,58000,26.581789016723633
1757668354.6981008,58500,26.1875
1757668448.8702497,59000,27.224184036254883
1757668542.6962414,59500,25.35558319091797
1757668637.9875274,60000,26.487590789794922
1757668731.0413346,60500,28.05622673034668
1757668823.1094058,61000,34.91820526123047
1757668918.3363767,61500,35.61635208129883
1757669009.3115451,62000,33.47609329223633
1757669101.9135125,62500,34.93022155761719
1757669193.457638,63000,34.376014709472656
1757669289.0133283,63500,35.80600357055664
1757669383.0491061,64000,34.52249526977539
1757669477.335551,64500,33.449790954589844
1757669570.252643,65000,34.40673828125
1757669660.8051758,65500,34.54124450683594
1757669753.6352232,66000,34.355491638183594
1757669843.3033316,66500,33.9708251953125
1757669936.5156937,67000,35.00363540649414
1757670030.1309185,67500,34.343482971191406
1757670126.4926257,68000,35.370826721191406
1757670219.6794074,68500,34.6494026184082
1757670310.181392,69000,34.74401092529297
1757670403.1327808,69500,35.42756271362305
1757670498.903931,70000,35.63750076293945
1757670590.948259,70500,34.22098159790039
1757670683.0790958,71000,34.10001754760742
1757670774.7848034,71500,34.39902877807617
1757670871.5465703,72000,33.938758850097656
1757670963.8045194,72500,34.38593292236328
1757671059.9348788,73000,34.166866302490234
1757671151.0180855,73500,35.00203323364258
1757671247.382088,74000,33.99516677856445
1757671342.1858656,74500,35.2947998046875
1757671435.2853343,75000,34.731231689453125
1757671528.1569562,75500,34.862213134765625
1757671624.8470795,76000,35.403011322021484
1757671717.8421822,76500,34.985374450683594
1757671811.0442257,77000,35.69740676879883
1757671905.330976,77500,34.12650680541992
1757672000.1403685,78000,34.33740997314453
1757672093.4462519,78500,34.757530212402344
1757672187.3597462,79000,34.44990921020508
1757672278.6219678,79500,34.82341384887695
1757672370.194214,80000,33.6325798034668
1757672465.0624905,80500,34.475799560546875
1757672560.33229,81000,33.81154251098633
1757672652.8358686,81500,34.84694290161133
1757672749.4583566,82000,35.08846664428711
1757672845.2126212,82500,33.664615631103516
1757672938.6449578,83000,35.20387649536133
1757673032.4962792,83500,34.762638092041016
1757673127.5625818,84000,34.95800018310547
1757673224.3846626,84500,35.11519241333008
1757673319.9020402,85000,32.926273345947266
1757673415.0087476,85500,34.662662506103516
1757673510.0802166,86000,34.380531311035156
1757673607.198289,86500,35.05255126953125
1757673699.8331656,87000,35.21284484863281
1757673793.81425,87500,35.22047424316406
1757673888.6482108,88000,34.513118743896484
1757673984.1118762,88500,35.509124755859375
1757674077.6359954,89000,34.03895950317383
1757674171.7197096,89500,33.9648323059082
1757674263.4512398,90000,34.18076705932617
1757674359.8294523,90500,35.36457443237305
1757674453.8430953,91000,34.817195892333984
1757674547.189881,91500,35.487701416015625
1757674642.4314754,92000,34.06774139404297
1757674736.4248812,92500,35.16944885253906
1757674833.2948072,93000,35.12661361694336
1757674925.9311814,93500,35.18913269042969
1757675016.8463552,94000,35.135189056396484
1757675111.38307,94500,34.41189956665039
1757675203.6984637,95000,34.26498794555664
1757675300.7554238,95500,34.87160110473633
1757675394.2216837,96000,35.63419723510742
1757675490.7062972,96500,35.1324348449707
1757675584.2482216,97000,34.9945182800293
1757675679.1892035,97500,35.34420394897461
1757675774.332152,98000,35.51775360107422
1757675871.5388322,98500,34.322574615478516
1757675966.0080771,99000,34.887908935546875
1757676059.4659507,99500,34.15311050415039
1757676153.3136263,100000,34.87310028076172
