Wall time,Step,Value
1757564908.3493233,500,2.6550111770629883
1757564997.2110822,1000,2.813722610473633
1757565082.9525642,1500,2.7731597423553467
1757565169.9110963,2000,2.6248743534088135
1757565260.8260207,2500,2.844393730163574
1757565347.8482807,3000,2.693727493286133
1757565436.1594331,3500,2.8174333572387695
1757565526.6398225,4000,2.9475674629211426
1757565621.9434009,4500,2.851684331893921
1757565716.417213,5000,3.154552936553955
1757565809.5173337,5500,3.175034523010254
1757565901.327294,6000,2.786884069442749
1757565997.0907726,6500,3.2248735427856445
1757566092.7866483,7000,3.2579028606414795
1757566188.6288483,7500,3.0926225185394287
1757566285.545808,8000,3.2160210609436035
1757566385.0225105,8500,3.0836009979248047
1757566480.3042681,9000,3.1385622024536133
1757566578.4872527,9500,3.2218337059020996
1757566676.0791757,10000,3.2396233081817627
1757566775.1624205,10500,3.382211446762085
1757566876.241501,11000,3.3619019985198975
1757566973.4789486,11500,3.3682215213775635
1757567072.6651692,12000,3.4572832584381104
1757567171.3800247,12500,3.292842149734497
1757567272.6021464,13000,3.233008861541748
1757567373.3376813,13500,3.1170668601989746
1757567471.3707952,14000,3.278271198272705
1757567573.9747083,14500,3.5167949199676514
1757567673.9905384,15000,3.2714993953704834
1757567768.50291,15500,7.113779544830322
1757567865.4009104,16000,7.429769992828369
1757567963.2860553,16500,7.341767311096191
1757568058.9401493,17000,7.822689533233643
1757568156.519914,17500,7.384389400482178
1757568252.1701093,18000,7.516875743865967
1757568351.0633156,18500,7.754654884338379
1757568448.494158,19000,7.591044902801514
1757568545.668598,19500,8.07447338104248
1757568642.3101604,20000,7.936720848083496
1757568742.4286025,20500,8.09398365020752
1757568841.5921865,21000,7.990114212036133
1757568939.0784686,21500,7.86501932144165
1757569033.2312617,22000,7.8110857009887695
1757569130.3732097,22500,7.917961120605469
1757569228.4540024,23000,7.663251876831055
1757569326.2786038,23500,7.651148319244385
1757569424.6126018,24000,8.16116714477539
1757569521.2967985,24500,7.749755382537842
1757569622.7399087,25000,7.811695575714111
1757569720.7999735,25500,8.282304763793945
1757569818.666122,26000,7.862549304962158
1757569919.1318145,26500,7.190670967102051
1757570019.8014622,27000,8.722065925598145
1757570118.9409366,27500,8.705320358276367
1757570219.1074266,28000,7.354750633239746
1757570321.3647687,28500,8.33366870880127
1757570422.342453,29000,7.451261520385742
1757570523.2836726,29500,7.677556991577148
1757570623.7104576,30000,7.873761177062988
1757570723.0004385,30500,10.945341110229492
1757570823.4314628,31000,11.618927955627441
1757570920.6302235,31500,12.087377548217773
1757571018.8333654,32000,12.321784019470215
1757571117.8453257,32500,12.45245361328125
1757571215.9931629,33000,11.869590759277344
1757571313.5369856,33500,12.514167785644531
1757571413.865146,34000,13.15635871887207
1757571513.0395906,34500,12.32444953918457
1757571612.4425588,35000,11.435932159423828
1757571710.3263228,35500,12.512760162353516
1757571808.4442601,36000,13.444757461547852
1757571906.7369516,36500,12.118265151977539
1757572006.9632099,37000,11.978578567504883
1757572104.965439,37500,12.74881649017334
1757572202.2774425,38000,11.758851051330566
1757572299.6381385,38500,11.89126968383789
1757572397.287801,39000,12.78589153289795
1757572493.889893,39500,13.328645706176758
1757572592.570084,40000,12.395532608032227
1757572689.6823545,40500,12.87471866607666
1757572788.514354,41000,13.080208778381348
1757572885.3585298,41500,12.619104385375977
1757572984.3028653,42000,14.18472957611084
1757573083.8241851,42500,12.463737487792969
1757573182.2608387,43000,12.690220832824707
1757573281.5649567,43500,12.307785034179688
1757573378.925968,44000,12.004158973693848
1757573478.8058796,44500,12.48487377166748
1757573574.9683483,45000,12.690788269042969
1757573673.036485,45500,14.687494277954102
1757573769.0788522,46000,16.186222076416016
1757573865.3517578,46500,16.339052200317383
1757573960.2841668,47000,15.828022956848145
1757574059.339058,47500,18.155405044555664
1757574156.860377,48000,16.842443466186523
1757574251.8495007,48500,16.899824142456055
1757574349.4006753,49000,17.97362518310547
1757574449.1689162,49500,17.23027229309082
1757574544.7059886,50000,16.375835418701172
1757574640.2538762,50500,16.2961483001709
1757574739.3116317,51000,17.388917922973633
1757574837.8329787,51500,16.823326110839844
1757574935.4215956,52000,18.599533081054688
1757575031.631289,52500,16.391517639160156
1757575127.6928725,53000,16.818557739257812
1757575224.3736508,53500,18.14128303527832
1757575323.8304172,54000,15.590449333190918
1757575420.2586231,54500,18.091920852661133
1757575516.8704386,55000,19.02308464050293
1757575614.5034468,55500,16.28044319152832
1757575711.7015054,56000,15.349987983703613
1757575808.3489206,56500,16.481277465820312
1757575905.9659748,57000,16.344274520874023
1757576000.508862,57500,15.892356872558594
