Wall time,Step,Value
1750839830.857035,500,15.525079727172852
1750839906.7574599,1000,17.633100509643555
1750839984.7848678,1500,17.42078971862793
1750840063.3119297,2000,16.26569366455078
1750840141.030625,2500,19.92121124267578
1750840216.5214138,3000,16.177865982055664
1750840296.7362294,3500,18.954790115356445
1750840373.2700965,4000,21.423555374145508
1750840453.4280112,4500,17.715368270874023
1750840532.681276,5000,20.937339782714844
1750840609.48168,5500,19.65631866455078
1750840688.0588357,6000,19.975933074951172
1750840765.610457,6500,17.369396209716797
1750840843.974223,7000,19.48603630065918
1750840921.1745963,7500,21.22663116455078
1750840999.92806,8000,18.220535278320312
1750841079.7895641,8500,20.373083114624023
1750841159.8128474,9000,19.426591873168945
1750841237.7788975,9500,22.661272048950195
1750841319.0648315,10000,20.530414581298828
1750841396.9358864,10500,20.28093910217285
1750841477.5042036,11000,20.121631622314453
1750841558.1687026,11500,20.33976173400879
1750841638.7720988,12000,19.11728286743164
1750841717.2303977,12500,19.443269729614258
1750841798.4054167,13000,21.683374404907227
1750841879.969979,13500,21.594528198242188
1750841961.1767998,14000,21.74068260192871
1750842042.3862395,14500,20.50920295715332
1750842123.3672159,15000,23.383922576904297
1750842204.3210788,15500,19.93511390686035
1750842287.3041484,16000,20.377235412597656
1750842368.6849666,16500,20.795473098754883
1750842451.4037015,17000,21.96921157836914
1750842533.8792148,17500,24.407241821289062
1750842614.378144,18000,22.274585723876953
1750842695.1168597,18500,19.660531997680664
1750842776.9841168,19000,23.767086029052734
1750842859.37059,19500,21.959274291992188
1750842941.7682838,20000,23.620580673217773
1750843025.5969083,20500,23.15531349182129
1750843109.043185,21000,26.723926544189453
1750843192.287311,21500,21.737680435180664
1750843274.2334986,22000,21.812374114990234
1750843356.5985203,22500,23.402437210083008
1750843441.9927793,23000,20.67491912841797
1750843526.565237,23500,22.484651565551758
1750843611.7996082,24000,24.843017578125
1750843696.1007416,24500,24.31147003173828
1750843785.284228,25000,22.99298667907715
1750843876.6334639,25500,24.97344398498535
1750843967.2442214,26000,24.282073974609375
1750844059.2655396,26500,24.14727210998535
1750844150.1281948,27000,25.090360641479492
1750844240.7797859,27500,25.600305557250977
1750844329.2264323,28000,25.96063232421875
1750844417.058962,28500,23.63582992553711
1750844509.8677204,29000,24.482213973999023
1750844600.7895327,29500,26.07962417602539
1750844694.2475164,30000,22.35758399963379
1750844786.0418303,30500,29.46626091003418
1750844878.465452,31000,26.176000595092773
1750844969.326066,31500,26.155431747436523
1750845060.5316365,32000,27.888839721679688
1750845153.8462842,32500,24.494449615478516
1750845248.2324934,33000,26.22511100769043
1750845342.331333,33500,27.92469596862793
1750845436.557758,34000,27.652074813842773
1750845528.9982996,34500,26.5594482421875
