Step,Reward1,Reward2
0,0,0
1,0,0
2,0,0
3,1.214661,1
4,0.004539311,1
5,0,0
6,0.3490871,1
7,0.9666347,1
8,0,0
9,0,0
10,1.361085,1
11,1.008273,1
12,1.186253,1
13,1.20565,1
14,0.1399872,1
15,0,0
16,0,0
17,0,0
18,0.05989551,1
19,0,0
20,0.2808905,1
21,0,0
22,0,0
23,1.195763,1
24,0.9834728,1
25,0,0
26,0,0
27,0.9226487,1
28,0.1032867,1
29,0.001332427,1
30,0.8174316,1
31,0,0
32,0.8387972,1
33,1.044001,1
34,0,0
35,0,0
36,0.3532996,1
37,0,0
38,0,0
39,0.03112489,1
40,0,0
41,0.4045146,1
42,0.4435334,1
43,0.4103804,1
44,0.7597438,1
45,1.120503,1
46,0,0
47,1.074731,1
48,0.9945511,1
49,0,0
50,0,0
51,0,0
52,0,0
53,0.01502506,1
54,0,0
55,0,0
56,0.7320136,1
57,0,0
58,0,0
59,0,0
60,0.2911486,1
61,1.175207,1
62,1.206814,1
63,0,0
64,0.9647918,1
65,0,0
66,0.5500435,1
67,0,0
68,0.4480298,1
69,0,0
70,0.2850399,1
71,0,0
72,0.9887392,1
73,0.8103189,1
74,0,0
75,0.7516465,1
76,0,0
77,1.295022,1
78,0,0
79,0.9690154,1
80,0,0
81,0.09642351,1
82,0,0
83,0.367824,1
84,0,0
85,1.057179,1
86,0.5776672,1
87,0,0
88,0,0
89,0,0
90,1.086205,1
91,0.9900042,1
92,0,0
93,0.8430459,1
94,0.3916008,1
95,0.8926967,1
96,0.5878999,1
97,0,0
98,0.7133998,1
99,0.8248796,1
100,0.9788491,1
101,0.09943,1
102,0.004561446,1
103,1.200767,1
104,1.066071,1
105,0,0
106,0.8862417,1
107,0,0
108,0,0
109,0,0
110,0,0
111,0.4242319,1
112,1.126946,1
113,0,0
114,1.111382,1
115,1.047192,1
116,0.3724076,1
117,0.4394395,1
118,0,0
119,1.354544,1
120,0.7765281,1
121,0.8689516,1
122,0,0
123,0,0
124,0,0
125,0.2750081,1
126,0,0
127,0,0
128,0,0
129,0.3886741,1
130,0.09629461,1
131,1.138716,1
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0.2280629,1
139,0.7122372,1
140,0.9395311,1
141,0,0
142,0.6887364,1
143,0,0
144,0.1641212,1
145,0.5738292,1
146,0.4250664,1
147,1.257117,1
148,0.4468674,1
149,0,0
150,0.5725235,1
151,0,0
152,0,0
153,0.5047268,1
154,0.9709153,1
155,0,1
156,0.9685543,1
157,0.5410223,1
158,0,1
159,0.2442418,1
160,0.04834804,1
161,0.7097482,1
162,0.5076091,1
163,0,0
164,0,0
165,0.4765886,1
166,0.4366095,1
167,0.08267285,1
168,0.6013194,1
169,0,0
170,0,0
171,0.5952627,1
172,0.03122908,1
173,0,0
174,0,0
175,0,0
176,0.3061852,1
177,0.9668829,1
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0.2347526,1
190,1.187299,1
191,0.9285477,1
192,0.2136281,1
193,0.002934604,1
194,0,0
195,0,0
196,0,0
197,0.4145164,1
198,0,0
199,0.09742765,1
200,0.8685222,1
201,0.0004952983,1
202,0.2403714,1
203,0.8365046,1
204,0.8993517,1
205,0,0
206,0.7680392,1
207,0.7893505,1
208,1.023264,1
209,0,0
210,0.6313559,1
211,0,0
212,0,0
213,0.8008435,1
214,0,0
215,0,0
216,0.5123029,1
217,0,0
218,0,0
219,0,0
220,0,0
221,0.7209827,1
222,0,0
223,0.009329328,1
224,0,0
225,0.06211412,1
226,0.6513772,1
227,0.5373322,1
228,1.142348,1
229,0,0
230,0.3825416,1
231,0,0
232,0,0
233,0,0
234,0.2983204,1
235,0.01553456,1
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0.4108363,1
242,0.6112252,1
243,0.9623699,1
244,0,0
245,0.6917208,1
246,0.8361281,1
247,0,0
248,0,0
249,0,0
250,0,0
251,0.3295593,1
252,0.3794864,1
253,1.080345,1
254,0,0
255,0.855346,1
256,0,0
257,0,0
258,0,0
259,1.284227,1
260,0,0
261,1.254036,1
262,0,0
263,0,0
264,0.3966641,1
265,0.2454806,1
266,0,0
267,0,0
268,0.5589061,1
269,0,0
270,0.3473776,1
271,0.002269945,1
272,0.6203481,1
273,0.0664604,1
274,0.001383051,1
275,0,0
276,0,0
277,0,0
278,0.7628415,1
279,0.8006915,1
280,0.2853023,1
281,0,0
282,0,0
283,0,0
284,0,0
285,0.4036576,1
286,0.5069913,1
287,0.6177671,1
288,0,0
289,0,0
290,0.2115003,1
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0.7009571,1
298,0.9324118,1
299,0,0
300,0,0
301,0.5181141,1
302,0,0
303,0.8660194,1
304,0,0
305,0,0
306,0.2592852,1
307,0.6004123,1
308,1.19634,1
309,0.2798899,1
310,1.184023,1
311,0,0
312,0.5378813,1
313,0,0
314,0.8452561,1
315,0.9399523,1
316,1.051135,1
317,0,0
318,0.9593326,1
319,0,0
320,1.309949,1
321,0.3086698,1
322,0,0
323,0,0
324,0.3685698,1
325,0,0
326,0.984463,1
327,0,0
328,1.205816,1
329,1.188229,1
330,0,0
331,0.959424,1
332,0,0
333,0,0
334,0.0390297,1
335,0.4661587,1
336,0.0007916644,1
337,0.3568369,1
338,0.4224419,1
339,0,0
340,0,0
341,1.097964,1
342,0,0
343,0.9416159,1
344,0.5045796,1
345,0.3005249,1
346,0.8192401,1
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0.8254165,1
353,0.6892047,1
354,0,0
355,0.9136525,1
356,1.079971,1
357,0.4988207,1
358,0,0
359,1.023515,1
360,1.130684,1
361,0.785284,1
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0.0709397,1
368,0,0
369,0,0
370,1.382829,1
371,0.2412593,1
372,0,0
373,0.1675561,1
374,0.0005032222,1
375,0.1689637,1
376,1.038141,1
377,0,0
378,0,1
379,0.9636092,1
380,0,0
381,0,0
382,1.001407,1
383,0.8448852,1
384,0,0
385,0.6753887,1
386,0,0
387,6.46375E-09,1
388,0.7265473,1
389,0,0
390,0,0
391,1.311026,1
392,0.6610484,1
393,0.9859636,1
394,0,0
395,1.087661,1
396,0.8689551,1
397,0.7752096,1
398,0.252755,1
399,0,0
400,0,0
401,0,0
402,0,0
403,0.9365106,1
404,0.2670717,1
405,0.1587004,1
406,0.9546537,1
407,0.4758494,1
408,1.130502,1
409,0.1372291,1
410,0,0
411,0.3797023,1
412,0.3075307,1
413,0.3461072,1
414,1.081728,1
415,1.287107,1
416,0,0
417,1.36592,1
418,0,0
419,0,0
420,0,0
421,1.156471,1
422,0,0
423,0,0
424,0.9006803,1
425,0.8824981,1
426,0,0
