Step,Reward1,Reward2
0,0,0
1,0.8161023,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0.8460289,1
8,0.8990625,1
9,0,0
10,0,0
11,0,0
12,0,0
13,0.220208,1
14,0,0
15,0,0
16,0.02548204,1
17,1.795145,1
18,0,0
19,0,0
20,0,0
21,0.9253078,1
22,0.3716323,1
23,0.3652178,1
24,0,0
25,0.8871267,1
26,0.2886304,1
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0.114401,1
33,0.3021113,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,1
47,1.045216,1
48,0,0
49,0.7296207,1
50,0.9579905,1
51,0.1822484,1
52,0.2624067,1
53,0,1
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0.4736135,1
63,0.9138879,1
64,0,0
65,0.9058902,1
66,0,1
67,0,0
68,0,0
69,0.6591744,1
70,0.3107083,1
71,0,0
72,0.9316203,1
73,1.239559,1
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0.006540907,1
82,0,0
83,0,0
84,0.7776229,1
85,0.399714,1
86,0.3668157,1
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0.8605126,1
95,0.2708579,1
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0.4605279,1
102,0.337956,1
103,0,0
104,0,0
105,0,0
106,1.061623,1
107,8.024922E-07,1
108,0,0
109,0,0
110,0,0
111,0.1647706,1
112,0,0
113,1.272768,1
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0.9639001,1
122,0,0
123,0,0
124,0.4206874,1
125,0,0
126,0,0
127,0,0
128,0.3356446,1
129,0.9014665,1
130,0,0
131,0.9025484,1
132,0,0
133,0.7909354,1
134,0,0
135,0,0
136,0,0
137,0.813799,1
138,0.1879247,1
139,0,0
140,0.9378401,1
141,0,0
142,0.8135372,1
143,0,0
144,0,0
145,0.001217052,1
146,0,0
147,0.2866827,1
148,0,0
149,0.5348855,1
150,0,0
151,0.6437339,1
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0.6415527,1
159,0,0
160,0,0
161,1.224973,1
162,0,0
163,0.03516318,1
164,0,0
165,0.7850519,1
166,0,0
167,1.036406,1
168,0,0
169,0.9665682,1
170,0,0
171,1.448011,1
172,0,0
173,0.894048,1
174,0.8747566,1
175,0.9888471,1
176,0,0
177,0,1
178,0.4143341,1
179,0,0
180,0.3519103,1
181,0,0
182,0,0
183,0,0
184,0,0
185,1.113832,1
186,0,0
187,0.4073873,1
188,0,0
189,0,0
190,0.2239352,1
191,1.089473,1
192,0,0
193,0,0
194,0,0
195,0.9773613,1
196,0.5748037,1
197,1.128936,1
198,0.9406148,1
199,0,0
200,0,0
201,0,0
202,0.04774725,1
203,0,0
204,0,0
205,0,0
206,0.6569781,1
207,0,0
208,0,0
209,0.2041342,1
210,0.3828145,1
211,0.9738773,1
