Step,Reward1,Reward2
0,0,0
1,0.8672294,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0.6275334,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,1.167419,1
27,0.9506556,1
28,0,1
29,0.4650134,1
30,0.811349,1
31,0.004373508,1
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0.2182242,1
39,0,0
40,0.26895,1
41,0,0
42,0,0
43,0,0
44,0.7523546,1
45,0.7517651,1
46,0.02925908,1
47,0.7080334,1
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0.5108979,1
55,0,0
56,0,0
57,0,0
58,1.06193,1
59,0,0
60,0.2829282,1
61,0,0
62,0.4911968,1
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,1.08242,1
69,0,0
70,0,0
71,0.3828971,1
72,0.3899696,1
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0.8188444,1
79,0,0
80,0,1
81,0.7966897,1
82,0,0
83,0.4377971,1
84,0,0
85,0,0
86,1.225969,1
87,0.4457156,1
88,0,0
89,0,0
90,0,0
91,0,0
92,1.236458,1
93,0,0
94,1.10745,1
95,0,0
96,0,0
97,0.4201019,1
98,0,0
99,0,1
100,0,0
101,0,1
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0.6457291,1
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0.1571048,1
117,0,0
118,0.9385315,1
119,0,0
120,0.8872213,1
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0.7709721,1
127,0.3764817,1
128,0,0
129,0,0
130,0.02081389,1
131,0,0
132,0,0
133,0.5162672,1
134,0.4851668,1
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0.4665028,1
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0.4155826,1
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0.8828585,1
159,0.03475384,1
160,1.049114,1
161,0.9304149,1
162,0,0
163,0,0
164,0.8429963,1
165,0,0
166,0.7133471,1
167,0,0
168,0.4291478,1
169,0,0
170,0.6120473,1
171,0,0
172,0.5720775,1
173,0,0
174,0.6674911,1
175,0,0
176,0,0
177,0,0
178,0.2143623,1
179,0.4206239,1
180,0,0
181,0.8962142,1
182,0,0
183,0,0
184,0.3867419,1
185,0,0
186,0.204568,1
187,0,0
188,0,0
189,0,0
190,3.902685E-07,1
191,0.7019545,1
192,1.267042,1
193,0,0
194,0,0
195,1.893549,1
196,0,0
197,0,0
198,0,0
199,0.6755108,1
200,0.4665752,1
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0.7399816,1
207,0,0
208,0,0
209,0,0
210,0,0
211,0.8458191,1
212,1.319361,1
213,0,0
214,0,0
215,0.1256644,1
216,0,0
217,0,0
218,0.6724212,1
219,0,0
220,0.9968463,1
221,0,0
222,0.6302798,1
223,0.9930977,1
224,0,0
225,0.305885,1
226,0,0
227,0,0
